address,latitude,longitude
千葉県銚子市清川町２丁目２番１４外,35.72687352,140.8201445
千葉県銚子市松岸町３丁目２２０番１０外,35.74264098,140.79493695
千葉県銚子市栄町４丁目１５３８番２,35.72607658,140.82820769
千葉県銚子市橋本町２２４５番２外,35.73409875,140.84810525
千葉県銚子市三崎町３丁目４番８,35.71012065,140.78061113
千葉県銚子市末広町１番１０,35.73244841,140.83091278
千葉県銚子市清川町１丁目９番１０,35.72857347,140.82258592
千葉県銚子市和田町１１番４,35.73294872,140.84343359
千葉県市川市菅野３－２０－５,35.73028487,139.91492148
千葉県市川市真間２－２－２,35.73500628,139.91098278
千葉県市川市稲荷木１－３３－５,35.7112714,139.92456298
千葉県市川市欠真間１－９－２０,35.67935356,139.90136046
千葉県市川市大野町１丁目４４３番１１,35.74924569,139.94454107
千葉県市川市平田１－１７－６,35.72461918,139.92057678
千葉県市川市市川南４－１０－２,35.72763802,139.90128634
千葉県市川市市川３－３５－１２,35.73689206,139.90489705
千葉県市川市曽谷５－２２－７,35.74900669,139.92782299
千葉県市川市東菅野４－１５－６,35.73338974,139.93708649
千葉県市川市中山２－２－２,35.71961949,139.94585009
千葉県市川市南行徳４－５－３,35.66429074,139.90836879
千葉県市川市若宮３－１７－１２,35.72526581,139.95309937
千葉県市川市若宮２－１９－１６,35.72158574,139.95417439
千葉県市川市国府台５－４－１３,35.74900673,139.90590238
千葉県市川市真間５－１５－１６,35.74367981,139.91010216
千葉県市川市堀之内３－１１－１９,35.76060757,139.91199625
千葉県市川市北国分１－８－９,35.75841908,139.90434681
千葉県市川市北国分４－４－１１,35.76357652,139.90911034
千葉県市川市南大野１－１８－１１,35.7429189,139.94826037
千葉県市川市大野町４丁目２８５１番６３,35.75763108,139.96201703
千葉県市川市柏井町１丁目１２２９番１１,35.73909168,139.96553405
千葉県市川市下貝塚２－１２－８,35.7426439,139.94381075
千葉県市川市東菅野３－１７－１４,35.73193169,139.93179525
千葉県市川市菅野４－８－１２,35.73120965,139.9251402
千葉県市川市大洲２－２－２０,35.71538773,139.91155262
千葉県市川市宝１－１４－１１,35.68202242,139.92634175
千葉県市川市田尻４－１２－１０,35.70364996,139.93382926
千葉県市川市鬼高２－２２－１４,35.71264025,139.93539273
千葉県市川市宮久保１－１９－１４,35.73763632,139.92834261
千葉県市川市南行徳２－７－３,35.67015414,139.906827
千葉県市川市相之川３－３－１４,35.67631484,139.90096894
千葉県市川市福栄１－１４－１１,35.67574276,139.90905164
千葉県市川市八幡４－１２－９,35.72431625,139.93244262
千葉県市川市菅野２－３－１５,35.72812686,139.92418755
千葉県市川市北方町４丁目１９５８番９,35.7312816,139.95863209
千葉県市川市北方２－１９－９,35.72335237,139.94127255
千葉県市川市本塩２３－６,35.69072453,139.91852806
千葉県市川市香取２－７－２４,35.679037,139.90918207
千葉県市川市妙典５－１６－６,35.6903768,139.93202987
千葉県市川市広尾１－１３－３,35.67682267,139.89108637
千葉県市川市稲荷木３－１６－１３,35.70864979,139.91974951
千葉県市川市福栄４－２５－１０,35.66803766,139.9153181
千葉県市川市原木３丁目７２８番２８,35.70194687,139.94954482
千葉県市川市稲越町８３番４,35.75639721,139.93091982
千葉県市川市中国分４－１－２３,35.750512,139.91010764
千葉県市川市行徳駅前４－１６－７,35.67709813,139.91572331
千葉県市川市国分１－６－１４,35.73973046,139.91894881
千葉県市川市柏井町２丁目７８１番５外,35.74475211,139.9654922
千葉県市川市柏井町１丁目１７８３番１４,35.73634203,139.97420563
千葉県市川市本北方１－１７－４,35.72727401,139.94019197
